tipo_documento,numero_documento,raz_n_social,pa_s,departamento_estado,ciudad,direcci_n,tel_fono,p_gina_web,correo_electr_nico,fuente_origen_del_dato,enlace_origen_del_dato,presta_de_tercero,portal_transaccional,nombre_de_la_prueba,descripci_n,documento_de_referencia,m_todo,fecha_de_actualizaci_n_de,acreditaci_n_vigente,equipos,tiempo_de_duraci_n_de_la
nit,899999063-3,Universidad Nacional de Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 45  # 26 - 85,6013165000,www.unal.edu.co,dnil@unal.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Identificación bacteriana de Listeria monocytogenes mediante sistema automatizado VITEK® 2 Compact bioMérieux. AOAC Official Method 2012.02 (2012-2016),"La técnica se basa en métodos bioquímicos establecidos y sustratos recientemente desarrollados para medir la utilización de la fuente de carbono, las actividades enzimáticas y la resistencia.",No Aplica,Identificación bacteriana automatizada.,2023/04/22 00:02:40.000,0,No Aplica,72
nit,800018488-1,AGROZ S.A.,Colombia,Tolima,Espinal,Km 1 Via Espinal - Ibague,2483930,www.agroz.com.co,info@agroz.com.co,No Aplica,No Aplica,No Aplica,No Aplica,MÉTODO DE ANÁLISIS PARA THIRAM  CÓDIGO: TA-CC-074-CC,"5.3 METODO DE ANALISIS DE THIRAM POR HPLC

5.3.1 EQUIPOS Y REACTIVOS

-	Cromatógrafo  liquido Agilent 1260
-	Balanza analítica BP 221S
-	Balanza analítica CP 324S
-	Baño de Ultrasonido
-	Balones aforados de 25 mL tipo A con certificados
-	Acetonitrilo HPLC
-	Agua HPLC
-	Metanol HPLC
-	Estándar secundario de Thiram con trazabilidad a estándar primario con certificado de análisis
-	Estándar primario de Thiram con certificado de análisis

5.3.2 CONDICIONES CROMATOGRÁFICAS

5.3.2.1 Cromatògrafo liquido agilent 1260
Columna			: Zorbax RX C18, 4.6x250 mm
Detector			: DAD
Longitud de onda		: 254 nm
Fase Móvil			: Acetonitrilo: MeOH: Agua (20:20:60)
Flujo				: 1.5 ml/min.
Volumen de Inyección	: 5 µl
Tiempo de retención	: 9.99 ± 5% min 
Solvente			: Acetonitrilo: Agua (50:50)
Temperatura columna       : 25°C
Tiempo de corrida             : 14 minutos

5.3.3 Preparación de la fase móvil: 20% v/v Acetonitrilo HPLC, 20% v/v de Metanol HPLC y  60%v/v de agua HPLC. Filtrar y desgasificar. Las fases móviles son identificadas con el rotulo FR-CC-046-CC en el recipiente que las contiene con el nombre y la concentración, fecha de preparación, nombre de la persona que preparó la fase móvil y la fecha de vencimiento.
.
5.3.4 Preparación del solvente: 50% v/v Acetonitrilo HPLC y 50% de agua HPLC.
 5.3.5 Preparación del estándar: Pesar cerca de 12 mg de Thiram estándar de referencia en un balón aforado de 25 mL. Completar a volumen con solvente. El manejo de los estándares se realiza tal como se describe en el procedimiento POE-CC-025-CC POE para el manejo de estándares de referencia.

5.3.6 Preparación de la muestra: Pesar una cantidad de muestra equivalente a 12 mg de Thiram en un balón de 25 mL y completar a volumen con solvente. La muestra preparada es marcada en el recipiente de preparación con el nombre de la muestra, la solicitud de análisis y/o el lote correspondiente. 

5.3.7 Análisis instrumental: Seleccionar en el equipo HPLC el método adecuado para el análisis de Thiram y programar la secuencia necesaria de corrida. Equilibrar la columna con la fase móvil correspondiente y posteriormente poner en marcha la corrida de la secuencia de análisis inyectando por triplicado tanto la muestra como el estándar, el límite de aceptación de las áreas obtenidas entre inyecciones es de ±3%. El tiempo de retención de la muestra debe ser similar al del estándar con un límite de aceptación entre inyecciones de ±5%.",No Aplica,NA,2023/04/22 00:02:40.000,0,No Aplica,4
nit,890920400-1,Laboratorio Químico Analítico Ltda,Colombia,Antioquia,Medellín,Calle 49 B # 68 - 64,4448517,www.analquimicos.com,calidad@analquimicos.com,No Aplica,No Aplica,No Aplica,No Aplica,Acidez,"Se toma una muestra, se diluye se trata y se cuantifica",No Aplica,NTC 39. Determinación de la acidez libre.,2023/04/22 00:02:40.000,0,No Aplica,2
nit,901268377-0,Kelab Analitica SAS,Colombia,Cundinamarca,Cota,Kilómetro 3 puntocinco #    viabogota siberia modeulo 6 bodega 19,3113181833,www.kelabanalitica.com/es/inicio,direccion.tecnica@kelabanalitica.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de Porcentaje de Material extraño,MTD-0007 - Porcentaje de material extraño en cannabis,No Aplica,MTD-0007 - Porcentaje de material extraño en cannabis,2023/04/22 00:02:40.000,1,No Aplica,1
nit,901313132-6,LABORATORIO CLINICO LOPEZ-LINEA VETERINARIA S.A.S,Colombia,Valle del Cauca,Guadalajara de Buga,Carrera 15  # 4  61,2366222,www.laboratorioclinicolopezvet.com,lcl.divisionveterinaria1@gmail.com,No Aplica,No Aplica,No Aplica,No Aplica,DETECCION DE Y CUANTIFICACION DE ANTICUERPOS FRENTE AL VIRUS DE BRONQUITIS INFECCIOSA AVIAR IBV,"Test basado en un enzimoinmunoensayo (ELISA) indirecto, al antígeno especifico del virus de la bronquitis infecciosa (IBV) se halla tapizando los 96 pocillos de la microplaca.",No Aplica,INSERTO CIVTEST AVI IBV LABORATORIO HIPRA,2023/04/22 00:02:40.000,0,No Aplica,2
nit,900195344-1,Marquimica S.A.S,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 134 D # 52 A 26,6159504,No Reporta,marquimica.control@outlook.com,No Aplica,No Aplica,No Aplica,No Aplica,Agua para Uso Farmacéutico,Detección / Cuantificación de microorganismos en agua  para uso farmacéutico,No Aplica,Farmacopea vigente  Capítulo <1231> USP,2023/04/22 00:02:40.000,0,No Aplica,3
nit,860077105-6,LABORATORIOS ACOTIR S.A.S.,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 71 C # 63 - 37 CASA,(57)+012230566,No Reporta,calidadroldyacotir@gmail.com,No Aplica,No Aplica,No Aplica,No Aplica,DESCRIPCION (APARIENCIA),"REALIZAR UNA INSPECCION VISUAL DE LAS PROPIEDADES DE LA MUESTRA PROBLEMA COMO SON: APARIENCIA, COLOR, TEXTURA, ENTRE OTROS",No Aplica,USP 43 TABLAS DE REFERENCIA  Y DESCRIPCION,2023/04/22 00:02:40.000,0,No Aplica,1
nit,899999063-3,Universidad Nacional de Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 45  # 26 - 85,6013165000,www.unal.edu.co,dnil@unal.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Identificación bacteriana de Listeria monocytogenes mediante sistema automatizado VITEK® 2 Compact bioMérieux. AOAC Official Method 2012.02 (2012-2016),"La técnica se basa en métodos bioquímicos establecidos y sustratos recientemente desarrollados para medir la utilización de la fuente de carbono, las actividades enzimáticas y la resistencia.",No Aplica,Identificación bacteriana automatizada.,2023/04/22 00:02:40.000,0,No Aplica,72
nit,802019339-4,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,Colombia,Atlántico,Barranquilla,Calle 1 C # 7  53 INTZONA FRANCA,6446730,www.adama.com,contact.us@adama.com,No Aplica,No Aplica,No Aplica,No Aplica,Acidez,Procedimiento para la determinación de acidez de productos y subproductos de reacción,No Aplica,CIPAC MT 31,2023/04/22 00:02:40.000,0,No Aplica,1
nit,800002784-7,LABORATORIOS VETERLAND LTDA,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 19 B # 168  16,6789851,www.laboratoriosveterland.com,produccion@laboratoriosveterland.com,No Aplica,No Aplica,No Aplica,No Aplica,TIOSULFATOS,USO DE TEST DE TIOSULFATO,No Aplica,INTERNO - USP V-,2023/04/22 00:02:40.000,0,No Aplica,1
Escritura Pública,12178,Laboratorios Roy H. Anderson S.A. de C.V.,México,No Reporta,Celaya,Calle Norte 11 Mza 1 Lote 1 SN Planta Baja Cd. Industrial Celaya Gto CP 38010,+524616118107,http://laboratoriosanderson.com/,rgutierrez@laboratoriosanderson.com,No Aplica,No Aplica,No Aplica,No Aplica,isoprothiolane,"La muestra es disuelta en acetona HPLC. La separación se realiza sobre una columna ZB-1 de 30 m x 0,25 mm x 0,25 µm, la isoprothiolane elude como  un pico, y es determinado por comparación con la solución de calibración.",No Aplica,GC-FID basado en CIPAC 456 Handbook E,2023/04/22 00:02:40.000,1,No Aplica,4
nit,800038601-3,Hidrolab Colombia Ltda,Colombia,Cundinamarca,Cota,Autopista Medellin Km 2.5  via parcelas de Cota Km 1.3,5190385307,hidrolab.co,varcelis.vargas@hidrolab.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Fósforo Total,"El anión fosfato PO4-3 forma con el molibdovanadato un compuesto de color amarillo que absorbe a una longitud de onda de 400 nm. Una alícuota de la solución ácida de la muestra, se mezcla con el reactivo molibdovanadato para formar el complejo coloreado fosfomolibdovanadato y la absorbancia de éste complejo es proporcional a la concentración del ion fosfato (Ley de Lambert-Beer).",No Aplica,NTC 4981,2023/04/22 00:02:40.000,1,No Aplica,8
nit,899999063-3,Universidad Nacional de Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 45  # 26 - 85,6013165000,www.unal.edu.co,dnil@unal.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Identificación bacteriana de Complejo Enterobacter cloacae mediante sistema automatizado VITEK® 2 Compact bioMérieux. AOAC Official Method 2011.17,"La técnica se basa en métodos bioquímicos establecidos y sustratos recientemente desarrollados para medir la utilización de la fuente de carbono, las actividades enzimáticas y la resistencia.",No Aplica,Identificación bacteriana automatizada.,2023/04/22 00:02:40.000,0,No Aplica,72
nit,860006848-6,FUNDACION UNIVERSIDAD DE BOGOTA JORGE TADEO LOZANO,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 4  # 22  61 Módulo2 Oficina  219,6012427030,www.utadeo.edu.co,secretaria.general@utadeo.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,"Prueba de actividad biológica insecticida ejercida por hongos entomopatógenos (Beauveria bassiana) sobre huevos, ninfas y adultos de mosca blanca (Trialeurodes vaporariorum)","Recolectar individuos para someter a la prueba de actividad biológica, teniendo en cuenta que para los huevos y ninfas de mosca blanca es necesario recolectar parejas de este blanco biológico y ubicarlas en hojas de una planta de tomate con ayuda de argollas, estas parejas se dejarán durante 24 h y posteriormente se retirarán, según sea el estado a evaluar se espera el tiempo necesario para que los organismos alcancen dicha madurez. Para el caso de los adultos, se recolentan los individuos en cajas de petri con malla.
La sustancia de prueba se prepara en los envases de vidrio a un volumen total de 100 mL de acuerdo con las recomendaciones de la casa comercial del producto o a petición del cliente. 
El producto preparado debe ser agitado para asegurar su total dilución, se pesa en la balanza digital antes de la aplicación, se aplica el producto a las repeticiones planteadas, se pesa nuevamente el producto después de la aplicación, se dejan secar las unidades experimentales y se guardan en un cuarto de ambiente controlado. En el caso de los adultos, se aplica el producto directamente en la caja de petri con malla en donde se recolectaron los individuos y posterior a su secado, se ubican en cada una de las repeticiones con ayuda de mallas.

Se evalúa la cantidad de individuos vivos y se registra diariamente durante 10 días después de la aplicación.",No Aplica,"Método interno ""DSP-RMD-ANL-LEM-P039 Protocolo de act biol por hongos entomopatógenos Mb""",2023/04/22 00:02:40.000,0,No Aplica,264
nit,860001942-8,Bayer S.A,Colombia,Bogotá D.C.,Bogotá D.C.,Avenida 9  # 57  52,3185358936,No Reporta,carlosaurel.patino@bayer.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación  de Ingrediente activo Spiroxamine de manera independiente como únicos activos en materia prima y formulaciones de plaguicidas,"Separaciòn y cuantificación de Spiroxamine por cromatografía de gases(CG) detector FID y estándar interno, en materia prima y formulaciones de plaguicidas",No Aplica,2001-0034402,2023/04/22 00:02:40.000,0,No Aplica,2
nit,890201213-4,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Colombia,Santander,Bucaramanga,Carrera 27 CALLE # 9   CAMPUSCENTRAL,6344000,www.uis.edu.co,labquimco@uis.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Cenizas por gravimetría,"Esta determinación es una aproximación del contenido de materia orgánica presente en el producto, considerando que el 100% del producto menos la suma del porcentaje de cenizas, carbonatos y humedad refleja el contenido de materia orgánica. No obstante, es importante verificar la presencia de otros componentes volátiles provenientes principalmente de fuentes nitrogenadas.",No Aplica,NTC5167,2023/04/22 00:02:40.000,0,No Aplica,18
nit,890201213-4,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Colombia,Santander,Bucaramanga,Carrera 27 CALLE # 9   CAMPUSCENTRAL,6344000,www.uis.edu.co,labquimco@uis.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Cenizas por gravimetría,"Esta determinación es una aproximación del contenido de materia orgánica presente en el producto, considerando que el 100% del producto menos la suma del porcentaje de cenizas, carbonatos y humedad refleja el contenido de materia orgánica. No obstante, es importante verificar la presencia de otros componentes volátiles provenientes principalmente de fuentes nitrogenadas.",No Aplica,NTC5167,2023/04/22 00:02:40.000,0,No Aplica,18
nit,830052939-4,Agrilab Laboratorios SAS,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 79 B # 70 - 16,5717454697,https://agrilab.com.co/,subgerencia@agrilab.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Fósforo total,Basado en NTC 234,No Aplica,Basado en NTC 234,2023/04/22 00:02:40.000,0,No Aplica,6
nit,890103400-5,ALIMENTOS CONCENTRADOS DEL CARIBE S.A,Colombia,Atlántico,Soledad,Carrera 30  # 28 A 180,3212511403,No Reporta,lynnetc@acondesa.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Procedimiento de análisis de contenido de cenizas,"Se determina la humedad presente en la muestra. 
Se incinera la muestra desecada en una atmósfera oxidante a una temperatura de 600 °C hasta completar la combustión de la materia orgánica y luego se pesa el residuo obtenido.",No Aplica,AOAC Official Method 942.05 Ash on animal feed,2023/04/22 00:02:40.000,0,No Aplica,5
nit,830057983-1,TECMOL FARMACEUTICA SAS,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 71 D # 6 D 59,5145821,www.tecmolfarmaceutica.com,tecmolfarmaceutica@yahoo.com,No Aplica,No Aplica,No Aplica,No Aplica,"Six-Pack toxicológico - Clasificación toxicológica OMS/ GHS- DL50 / CL50
Toxicidad inhalatoria (Aguda, Subaguda y Crónica",Determinar la dosis letal 50 inhalatoria,No Aplica,"OECD , EPA.",2023/04/22 00:02:40.000,0,No Aplica,336
nit,800087795-2,CORTEVA AGRISCIENCE DE COLOMBIA S.A.S,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 113  # 7  21,3759345,www.corteva.co,andres.rivera@corteva.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de Cyhalofop-n-butyl Ester,Las muestras son diluidas con 5 mL de una solución de std interno Diciclohexylphalate . Las soluciones son analizadas por cromatografía líquida usando una columna YMC-Pack ODS-AQ column150 mm x 4.6 mm ID 5µm con un detector UV a 285 nm. La cuantificación es basada en cálculos por estándar interno usando las áreas de picos.,No Aplica,Método DAS-AM-N-14-9. (QCPO-112 Interno),2023/04/22 00:02:40.000,0,No Aplica,2
nit,800087795-2,CORTEVA AGRISCIENCE DE COLOMBIA S.A.S,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 113  # 7  21,3759345,www.corteva.co,andres.rivera@corteva.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de Cyhalofop-n-butyl Ester,Las muestras son diluidas con 5 mL de una solución de std interno Diciclohexylphalate . Las soluciones son analizadas por cromatografía líquida usando una columna YMC-Pack ODS-AQ column150 mm x 4.6 mm ID 5µm con un detector UV a 285 nm. La cuantificación es basada en cálculos por estándar interno usando las áreas de picos.,No Aplica,Método DAS-AM-N-14-9. (QCPO-112 Interno),2023/04/22 00:02:40.000,0,No Aplica,2
nit,830026911-9,Quasfar M&F SA,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 68  # 17  90 oficina201,4470047,www.quasfar.com,guillermo.cuadros@quasfar.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Carbonatos,No presencia de efervescensia,No Aplica,Monografia oficial de la USP - Caolin,2023/04/22 00:02:40.000,0,No Aplica,1
nit,830026911-9,Quasfar M&F SA,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 68  # 17  90 oficina201,4470047,www.quasfar.com,guillermo.cuadros@quasfar.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Carbonatos,No presencia de efervescensia,No Aplica,Monografia oficial de la USP - Caolin,2023/04/22 00:02:40.000,0,No Aplica,1
nit,830123449-2,LQF SAS,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 60 Nº 94B-23,571 6910852,www.lqfcalidad.com,gerencia@lqfcalidad.com,No Aplica,No Aplica,No Aplica,No Aplica,Identificación y cuantificación de ingrediente activo en medicamentos de uso veterinario.,Consiste en  efectuar  análisis fisicoquímico  y  organoléptico al producto en diferentes  tiempos de muestreo para establecer si  bajo las  condiciones de  almacenamiento en Zona  climática IVB el producto sufre algún tipo de degradación  y  basado en esto  establecer el tiempo de  vida útil  y las  condiciones de  almacenamiento para cada producto.,No Aplica,Las definidas para cada  molécula.,2023/04/22 00:02:40.000,0,No Aplica,5
nit,830057983-1,TECMOL FARMACEUTICA SAS,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 71 D # 6 D 59,5145821,www.tecmolfarmaceutica.com,tecmolfarmaceutica@yahoo.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de humedad por secado,Determinación de la humedad por perdida por secado,No Aplica,NTC 1663,2023/04/22 00:02:40.000,0,No Aplica,5
nit,830001242-1,LABORATORIOS SFC LTDA,Colombia,Bogotá D.C.,Bogotá D.C.,"Carrera 106  # 15 A 25 Manzana4, Interior 38, Bodega 1",4395155,https://laboratoriossfc.com.co/,GERENCIA.GENERAL@LABORATORIOSSFC.COM,No Aplica,No Aplica,No Aplica,No Aplica,Pérdida por secado,Análisis cuantitativo de humedad (%) por método de pérdida por secado. Requiere alistamiento de muestra mediante pesaje antes y después de secado en estufa calificada.,No Aplica,USP 2021 <731>,2023/04/22 00:02:40.000,0,No Aplica,4
nit,890922549-7,Premex S.A.S,Colombia,Antioquia,Medellín,Carrera 50  # 2 Sur 251 Autopistasur,6041500,https://www.premex.co/es/,mauricio.mesa@premexcorp.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de actividad ureásica en soya y subproductos de soya.,"Consiste en determinar la actividad de la enzima ureasa como indicador del procedimiento a que fue sometido el frijol y sus subproductos. Una muestra se pesa por duplicado, se adiciona la solución buffer correspondiente, se somete a incubación y luego se determina la diferencia de pH entre ellas.",No Aplica,NTC 771:2000,2023/04/22 00:02:40.000,0,No Aplica,2
nit,900119338-1,Laboratorio Tecnianalisis S.A.S:,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 73  # 20  81,(57)3118095666,www.tecnianalisis.com,luribe@tecnianalisis.com,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de Nitrógeno Total (Nitrógeno Ureico) en Abonos o Fertilizantes.,"El nitrógeno se convierte en sulfato de amonio, se libera por destilación y se titula.",No Aplica,NTC 370.  Abonos o Fertilizantes. Determinación de Nitrógeno Total.,2023/04/22 00:02:40.000,0,No Aplica,6
