name,nit,domain,brands
LABORATORIOS VM S.A.S. (Vitaminas y Minerales Ganadería),860023326,https://www.laboratoriosvm.com,"Fósforo VM, Calcio VM, sales mineralizadas concentradas, modificadores orgánicos"
LABORATORIOSSFC LTDA (SFC),830001242,https://www.laboratoriossfc.com,"Antibióticos inyectables SFC, sulfas veterinarias, vitamínicos para rumiantes"
FINMARK LABORATORIES S.A.,830085444,https://www.finmarklaboratories.com,"Biológicos veterinarios, reactivos diagnósticos y suplementos de salud animal"
PRODUCTOS MEDICOS VETERINARIOS S.A. (PROMEVET),830508914,https://www.promevet.co,"Promevet desparasitantes, cicatrizantes tópicos, antibióticos para ganadería"
LABORATORIOS VETERINARIOS LIMITADA (LABVET),860026583,https://www.laboratoriosveterinarios.com,"Especialidades farmacéuticas veterinarias, desinfectantes de instalaciones"
TECNOLOGIA AVICOLA LABORATORIOS LTDA (TECNOLAB),900139809,https://www.tecnologiaavicola.com,"Vacunas avícolas, desinfectantes para granjas, antibióticos solubles para aves"
LABORATORIOS CALIER DE LOS ANDES S.A.S.,800148619,https://www.calier.com,"Promotor L (aminoácidos), Mastipen, Ganadexil (enrofloxacina), Ceftiocyl"
LABORATORIOS CHALVER DE COLOMBIA S.A.S. (Salud Animal),890203194,https://www.chalver.com,"Ganapen, Vermisol, Fosfosal, Flunixin Chalver, Enroflox Chalver, Ricobendazol"
VICAR FARMACEUTICA S.A. (Vicar Animal),860020246,https://www.vicar.com.co,"Vicarmicina, Complejo B Vicar, desparasitantes bovinos, sulfas inyectables"
LABORATORIOS LA SANTE S.A. / PHARMETIQUE,800013834,https://www.lasante.com.co,Líneas de manufactura farmacéutica humana y genéricos veterinarios bajo contrato
PROCAPS S.A. (División Softgel / Salud Animal),890106527,https://www.procapslaboratorios.com,"Cápsulas blandas (softgel) para mascotas, nutracéuticos veterinarios, ácidos grasos Omega 3/6"
C.I. FARMACAPSULAS S.A.S.,890105927,https://www.farmacapsulas.com,Cápsulas de gelatina dura y vegetal para formulaciones veterinarias y premezclas
NOVAMED S.A.S.,800093391,https://www.novamed.com.co,Cápsulas y formas farmacéuticas orales sólidas para uso humano y animal
PROQUIDENT S.A.S. (Línea Cuidado Oral Mascotas),890914979,https://www.proquident.com.co,"Geles dentales para perros y gatos, enjuagues orales antisépticos veterinarios"
ALTEA FARMACEUTICA S.A.S.,900463029,https://www.alteafarmaceutica.com,Manufactura por contrato (CDMO) de formas farmacéuticas líquidas y sólidas veterinarias
LABORATORIOS LAVERLAM S.A.,890302442,https://www.laverlam.com.co,"Biotecnología, extractos y productos de apoyo terapéutico veterinario"
MANUFACTURERA MUNDIAL FARMACEUTICA S.A. (MMF S.A.),830064580,https://www.mmf.com.co,"Soluciones inyectables, antibacterianos y líquidos estériles para uso pecuario"
LABORATORIO INTERNACIONAL DE COLOMBIA S.A.S. (LABINCO),800174633,https://www.labinco.com.co,Medicamentos genéricos inyectables y orales para ganadería
QUIBI S.A.,860024141,https://www.quibi.com.co,Soluciones parenterales y electrolitos para uso veterinario y humano
ARBOFARMA S.A.S.,830072323,https://www.arbofarma.com,"Formulaciones tópicas, desinfectantes y antisépticos de uso veterinario"
