NIT,RazonSocial,Categoria,Subcategoria,DetalleActividadVeterinaria,ObjetoSocialPrincipal,Ciudad,Departamento,Direccion,Telefono,Celular,Email,FechaConstitucion,EstadoActual,Tamano,TipoSocietario,RevisorFiscalObligada,FirmaRevisorFiscal,Ingresos_COP_M_2018,Ingresos_COP_M_2019,Ingresos_COP_M_2020,Ingresos_COP_M_2021,Ingresos_COP_M_2022,Ingresos_COP_M_2023,Ingresos_COP_M_2024,Ingresos_COP_M_2025,EBITDA_COP_M_2018,EBITDA_COP_M_2019,EBITDA_COP_M_2020,EBITDA_COP_M_2021,EBITDA_COP_M_2022,EBITDA_COP_M_2023,EBITDA_COP_M_2024,EBITDA_COP_M_2025,UtilidadNeta_COP_M_2018,UtilidadNeta_COP_M_2019,UtilidadNeta_COP_M_2020,UtilidadNeta_COP_M_2021,UtilidadNeta_COP_M_2022,UtilidadNeta_COP_M_2023,UtilidadNeta_COP_M_2024,UtilidadNeta_COP_M_2025,TotalActivos_COP_M_2018,TotalActivos_COP_M_2019,TotalActivos_COP_M_2020,TotalActivos_COP_M_2021,TotalActivos_COP_M_2022,TotalActivos_COP_M_2023,TotalActivos_COP_M_2024,TotalActivos_COP_M_2025,TotalPatrimonio_COP_M_2018,TotalPatrimonio_COP_M_2019,TotalPatrimonio_COP_M_2020,TotalPatrimonio_COP_M_2021,TotalPatrimonio_COP_M_2022,TotalPatrimonio_COP_M_2023,TotalPatrimonio_COP_M_2024,TotalPatrimonio_COP_M_2025
890914979,PROQUIDENT S.A.S,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Cuidado oral humano y línea veterinaria/dental de mascotas,"Actividades que desarrolla. La compañía tiene por objeto: A) La investigación, fabricación, distribución y venta de productos químicos, farmacéuticos, dentales, cosméticos y aquellos que tengan que ver con la salud y el hogar. B) La explotación de almacenes o centros destinados a la distribución al por mayor y al detal de los productos químicos, farmacéuticos, dentales, cosméticos y aquellos que tengan que ver con la salud y el hogar. C) La importación y exportación de los productos químicos, farmacéuticos, dentales, cosméticos y aquellos que tengan que ver con la salud y el hogar. D) La investigación, fabricación, distribución y venta de productos para la salud y cuidado de mascotas y, cualquier otro animal. E) La explotación de almacenes o centros destinados a la distribución al por mayor y al detal de los productos para la salud y cuidado de mascotas y, cualquier otro animal. F) La importación y exportación de los productos para la salud y cuidado de mascotas y, cualquier otro animal. G) La representación de empresas nacionales y extranjeras con iguales o similares actividades y/o relacionadas directa o indirectamente con las de su objeto social; podrá también adquirir bienes muebles e inmuebles los cuales podrán ser enajenados de acuerdo con los intereses sociales. Para el desarrollo de sus actividades principales la sociedad podrá recibir dinero en mutuo, constituyendo las garantías exigidas para tal caso y en general realizar toda clase de actos y contratos que sean necesarios para cumplir el objetivo de la sociedad; podrá adquirir, usufructuar, gravar o limitar, dar o tomar en arriendo o a otro título toda clase de bienes muebles o inmuebles, y enajenarlos cuando por razones de necesidad o conveniencia fuere aconsejable, tomar dinero en mutuo, dar en garantía sus bienes muebles o inmuebles y celebrar todas las operaciones de crédito que le permitan obtener fondos u otros activos necesarios para el desarrollo de la empresa conforme a la ley; constituir compañías filiales para el establecimiento y explotación de empresas destinadas a la realización de cualquiera de las actividades comprendidas en el objeto social, y tomar interés como participe, asociada o accionista, fundadora o no, en otras empresas de objeto análogo o complementario al suyo, hacer aportes en dinero, en especie, o en servicios a esas empresas, enajenar sus cuotas, derechos o acciones en ellas, fusionarse con tales empresas o absorberlas, adquirir patentes, nombres comerciales, marcas y demás derechos de propiedad industrial y, adquirir u otorgar concesiones para su explotación y en general celebrar o ejecutar toda clase de contratos, actos u operaciones sobre bienes muebles o inmuebles de carácter civil o comercial, que guarden relación de medio con el objeto social expresado en el presente artículo y todas aquellas que tengan como finalidad ejercer los derechos y cumplir las obligaciones, legal y convencionalmente derivados de la existencia de las actividades desarrolladas por la compañía. La sociedad también podrá garantizar obligaciones de terceros y caucionar dichas obligaciones con bienes propios.",GUARNE-ANTIOQUIA,ANTIOQUIA,AUT MEDELLIN BOGOTA ENTRE RETORNO 11 Y 12 ENTRANDO 1.5KMVIA BATALLON JUAN DEL CORRAL VRD GARRIDO,6042886055,3145668633,documental@proquident.com.co,1975-03-31,ACTIVA,L,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,CROWE SAS,35580.882,42383.976,59599.879,58691.431,62516.23,91291.464,117485.299,144396.382,7723.988,6524.895,12098.733,7048.119,4476.219,16120.813,22522.642,25530.941,3517.994,2829.43,5068.114,2750.632,487.465,9223.178,17411.004,19038.249,20353.463,25344.94,32541.276,34803.951,33657.507,49011.1,67097.975,78706.309,7012.879,9842.309,14910.422,17661.054,16773.519,24996.698,37407.702,49445.951
830064580,MANUFACTURERA MUNDIAL FARMACEUTICA S A (M M F S A),VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Fabricación de productos farmacéuticos humanos y veterinarios,"la fabricación deproductos químicos, farmacéuticos, cosméticos y alimenticios, humanoso veterinarios",BOGOTA D.C.,BOGOTA D.C.,CR 106 N 15 25 IN 92 MZ 14 ZF,4224666,3112547672,impuestos@pharmetiquelabs.com,1999-11-05,ACTIVA,M,02. SUCURSAL EXTRANJERA,SI,CONSULTORES INTEGRADOS SAS,25474.314,36608.439,37373.271,45785.084,59587.067,67022.678,55712.845,62647.83,2801.644,3577.448,4842.525,7580.65,4756.295,15668.82,2111.523,12892.007,3037.034,2261.202,1262.396,2115.801,3530.71,14560.819,767.427,4940.901,152616.399,154598.635,155424.263,165361.034,186765.273,186763.717,186481.514,190310.91,118851.438,121112.64,122375.036,124490.836,130054.141,144614.96,145328.166,143883.504
800174633,Laboratorio Internacional de Colombia S A S,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Industria farmacéutica humana y veterinaria,"Explotacion de la industria farmaceutica en todos sus aspectos, tales como la elaboracion , distribucion, compra y venta de los productos de la misma, entre ellos los farmaceuticos propiamente tales, los veterinarios, los cosmeticos y los alimentos modificados.Explotacion de la industria farmaceutica en todos sus aspectos, tales como la elaboracion , distribucion, compra y venta de los productos de la misma, entre ellos los farmaceuticos propiamente tales, los veterinarios, los cosmeticos y los alimentos modificados.Explotacion de la industria farmaceutica en todos sus aspectos, tales como la elaboracion , distribucion, compra y venta de los productos de la misma, entre ellos los farmaceuticos propiamente tales, los veterinarios, los cosmeticos y los alimentos modificados. Explotacion de la industria farmaceutica en todos sus aspectos, tales como la elaboracion , distribucion, compra y venta de los productos de la misma, entre ellos los farmaceuticos propiamente tales, los veterinarios, los cosmeticos y los alimentos modificados.",BOGOTA D.C.,BOGOTA D.C.,Cr 32 A 10 99,3511492,3164717346,impuestos@bussie.com.co,1992-09-14,ACTIVA,M,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,KPMG S A S,34564.849,34077.905,28951.606,40239.975,51049.398,57156.962,62656.22,63530.726,4952.496,7165.546,4939.144,8626.934,12006.279,9138.94,8776.86,14490.165,1507.324,3762.264,2425.171,5013.7,7873.194,5970.11,5493.771,11455.929,38332.155,38816.401,40701.459,50921.839,57016.353,74243.101,76601.819,90156.88,25807.687,29569.951,31995.122,37008.822,44882.016,50852.126,56345.897,67801.826
860521601,LABORATORIOS SERVINSUMOS SA,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,Farmacéuticos y biológicos veterinarios,FABRICACION Y COMERCIALIZACION DE PRODUCTOS FARMACEUTICOS VETERINARIOS,TOCANCIPA-CUNDINAMARCA,CUNDINAMARCA,BODEGA M24 PARQUE INDUSTRIAL GRAN SABANA,6018697761,3157155584,hugo.baez@servinsumos.cc,1984-09-26,ACTIVA,M,01. SOCIEDAD ANÓNIMA,SI,EXPERTOS EN AUDITORIAS INTEGRALES SAS,25318.484,28871.26,32953.281,40158.462,47747.322,50771.722,54497.88,68396.429,392.756,1567.062,3620.057,5025.784,6879.576,2150.18,4515.337,11660.799,21.622,1838.588,4035.257,5466.422,4733.565,1675.793,2911.46,8060.415,21928.658,23314.281,27339.795,35600.312,47897.578,40898.253,43585.015,44414.258,6064.582,8637.426,12193.913,15862.545,17813.429,18344.856,20539.857,26424.661
800193165,KYROVET LABORATORIES S.A.,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,Fabricación y comercialización de productos farmacéuticos veterinarios,FABRICACION Y COMERCIALIZACION DE PRODUCTOS FARMACEUTICOS VETERINARIOS,TOCANCIPA-CUNDINAMARCA,CUNDINAMARCA,Parque Industrial Gran Sabana Unidad Privada N° 28,6017424842,3102227143,kyrovet@kyrovet.com,1993-03-31,ACTIVA,M,01. SOCIEDAD ANÓNIMA,SI,,28644.174,32772.492,35527.175,41375.011,46589.552,48441.7,58536.367,68921.064,4104.52,4873.221,7308.773,8533.368,9512.481,6186.977,9085.3,10789.89,2714.054,3112.39,5042.036,5138.854,5512.441,934.45,-243.09,2790.447,32353.064,38535.622,45277.562,63358.192,79645.684,78732.968,75912.769,90930.899,15032.261,16867.341,20505.676,24072.388,27731.945,28312.975,25834.551,33795.473
890308184,LABORATORIOS EDO S.A.S.,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,Fabricación de productos farmacéuticos de uso veterinario,FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS DE USO VETERINARIO,YUMBO-VALLE,VALLE,CL 13 38 86 URB ACOPI,6026644408,3155751173,jefe.contabilidad@laboratoriosedo.com,1973-08-21,ACTIVA,M,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,,0.0,0.0,27181.501,31073.721,37067.343,40239.027,45289.307,55407.776,0.0,0.0,3887.468,5678.717,8004.526,7548.444,9472.466,11473.907,0.0,0.0,1988.478,3400.461,3951.13,2544.694,4501.166,5593.606,0.0,0.0,24432.203,32855.258,36226.398,37564.907,39820.922,47467.11,0.0,0.0,13268.238,16668.698,11368.762,13913.456,18414.622,24008.228
860529588,LABORATORIOS PROVET SAS,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,Laboratorio farmacéutico veterinario especializado,"FABRICACION DE PRODUCTOS FARMACEUTICOS , SUSTANCIAS QUIMICAS  MEDICINALES Y PRODUCTOS BOTANICOS  DE USO FARMACEUTICO",FUNZA-CUNDINAMARCA,CUNDINAMARCA,AUTOPISTA MEDELLIN KM7 CELTA TRADE PARK PL 77,6018237680,3208385679,legal@laboratoriosprovet.com,1985-09-28,ACTIVA,M,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,JPA COLOMBIA SAS,16823.237,20259.501,24657.83,34866.393,36686.745,39593.454,37329.005,45058.803,5551.968,6573.344,9666.699,16127.377,15691.072,13974.22,13309.464,19156.099,2456.515,3288.431,5222.47,10300.577,10061.172,8140.755,8506.659,11684.503,14293.091,15465.647,19600.696,30516.172,29756.692,29171.781,28586.99,31031.388,8992.978,9824.894,11773.655,20907.662,16517.498,12620.44,12986.344,16164.187
860024141,QUIBI SA EN REESTRUCTURACION,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Fabricación de medicamentos para ser humano y veterinario,"FABRICACION,DISTRIBUCION DE MEDICAMENTOS PARA SER HUMANO Y VETERINARIO",BOGOTA D.C.,BOGOTA D.C.,AV CL1 16 71,7428272,3175097399,antoniomalaver@quibi.com.co,1968-12-05,ACTIVA,M,01. SOCIEDAD ANÓNIMA,SI,,11883.14,17267.288,17561.674,23978.563,28666.39,29508.263,29272.768,32082.588,1621.555,2922.022,2834.835,3135.464,3926.12,8910.008,3973.038,6391.424,620.944,339.021,287.075,153.591,223.241,3246.417,194.267,1871.996,16687.232,20536.724,20017.217,20471.637,35806.155,38315.953,41587.92,42426.191,4973.858,5514.431,7764.316,7870.769,17368.988,20494.623,21885.394,23757.39
890302442,LABORATORIOS LAVERLAM S.A.,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),División humana y biotecnología/veterinaria,"explotación industrial y comercial y el mejoramiento científico de productos de laboratorio, que comprenda las siguientes actividades: A) Fabricación y producción para aplicación o uso de productos en humanos, agrícolas y animales; B) La elaboración de fórmulas científicas para los mismos productos; C) La compra, venta, transformación, importación, exportación, distribución, agencia o cualquier clase de operación comercial o industrial relacionada con tales productos; D) La investigación de enfermedades humanas, agrícolas y animales y de componentes utilizados en la elaboración de fórmulas para productos de uso humano, agrícola y veterinarios. E) La participación a cualquier título en investigaciones, en instituciones y en sociedades comerciales que se propongan actividades similares. F) La participación en sociedades comerciales de cualquier naturaleza y objeto social, bien sea como constituyente de las mismas o por compra o suscripción de cuotas o acciones, según el caso. G) La creación de establecimientos de comercio para la venta y distribución de sus productos, al por mayor o al detal. En desarrollo del anterior objeto social, la compañía podrá ejecutar y celebrar toda clase de actos y contratos que sean necesarios y convenientes para el logro de sus fines y que se relacionen directamente con las actividades principales.",CALI-VALLE,VALLE,CARRERA 5 # 47 - 165,6024474411,3127569101,caliercolombia@calier.co,1962-04-28,ACTIVA,M,01. SOCIEDAD ANÓNIMA,SI,Ernst & Young Audit S.A.S,11141.24,7272.168,16438.376,21202.378,24174.138,27836.776,29724.115,30361.303,-180.367,-10006.232,727.981,592.103,2026.08,68.431,-1579.496,-3186.737,-1783.949,-9732.628,-1111.049,209.996,-1403.765,-212.763,-2518.304,-4496.939,28351.36,27984.756,30645.897,33261.816,35559.575,37551.512,40110.913,44741.723,14201.365,4207.837,5581.019,5791.015,4687.251,20065.925,17547.621,13050.682
800238326,LIMOR DE COLOMBIA SAS,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,Producción de vacunas biotecnológicas y fármacos veterinarios,PRODUCCION DE VACUNA BIOTECNOLOGICAS VETERINARIAS,SOACHA-CUNDINAMARCA,CUNDINAMARCA,VIA SOACHA SIBATE 300 MTS DESPUES DEL DESVIO,6016201023,3114777016,gmojica@limorcolombia.com,1994-08-02,ACTIVA,N/A,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,,16103.903,18277.27,26578.129,21477.885,22932.647,26270.502,11020.527,0.0,2886.719,4493.167,5946.478,7118.505,7239.454,4709.732,-2485.357,-9979.892,2029.13,2837.269,4702.428,5735.828,5232.602,1592.691,-2392.884,-6929.38,17420.31,21064.7,27028.825,22661.65,27700.705,26025.167,28343.207,23606.091,18945.091,21782.36,26484.788,26736.4,32483.456,34076.147,31683.263,17753.883
800223046,PHARVET SAS,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,Comercialización y desarrollo de productos farmacéuticos veterinarios,COMERCIALIZACION PRODUCTOS FARMACEUTICOS VETERINARIOS,BOGOTA D.C.,BOGOTA D.C.,CL 91 B 60 A 58,6014851315,3142582311,jefatura.contable@pharvet.com.co,1994-03-15,ACTIVA,M,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,,18760.013,22251.753,19607.087,23757.701,24670.741,25647.356,29538.981,33158.983,1092.001,2736.846,2445.797,3798.619,3396.23,4010.642,3653.233,6119.781,717.575,1572.065,1296.74,2006.749,1913.899,2123.649,3174.724,3071.556,16234.808,15043.455,15956.577,20489.769,16910.51,16762.607,20770.72,26298.706,5899.818,6346.88,6842.652,8947.736,8901.496,11025.072,13380.635,16499.767
